name,sku,attribute1,attribute2,attribute3
ProductCost,MB-0001,2021-02-01,5.100466228,EUR
ProductCost,MB-0001,2021-04-01,4.7560514775,EUR
ProductCost,MB-0001,2021-05-01,5.2103475708,EUR
ProductCost,MB-0001,2021-06-01,5.2188896766,EUR
ProductCost,MB-0001,2021-10-01,5.2448660819,EUR
ProductCost,MB-0001,2021-11-01,5.3330626225,EUR
ProductCost,MB-0001,2022-01-01,5.6251722378,EUR
ProductCost,MB-0001,2022-03-01,4.5673856619,EUR
ProductCost,MB-0001,2022-04-01,4.8274795046,EUR
ProductCost,MB-0001,2022-06-01,4.7799282571,EUR
ProductCost,MB-0001,2022-07-01,5.8696644672,EUR
ProductCost,MB-0001,2022-08-01,5.3756563574,EUR
ProductCost,MB-0001,2022-09-01,5.6643529319,EUR
ProductCost,MB-0001,2023-04-01,4.9324489178,EUR
ProductCost,MB-0001,2023-05-01,4.7336876139,EUR
ProductCost,MB-0001,2023-06-01,5.0763518392,EUR
ProductCost,MB-0001,2023-08-01,4.6439116453,EUR
ProductCost,MB-0001,2023-09-01,4.5780143299,EUR
ProductCost,MB-0001,2021-01-01,6.5359182499,USD
ProductCost,MB-0001,2021-03-01,5.8361187737,USD
ProductCost,MB-0001,2021-07-01,6.016565597,USD
ProductCost,MB-0001,2021-08-01,5.6546736109,USD
ProductCost,MB-0001,2021-09-01,5.7705310201,USD
ProductCost,MB-0001,2021-12-01,6.0350698343,USD
ProductCost,MB-0001,2022-02-01,6.4490822315,USD
ProductCost,MB-0001,2022-05-01,6.2672460561,USD
ProductCost,MB-0001,2022-10-01,5.3378829155,USD
ProductCost,MB-0001,2022-11-01,6.0233809985,USD
ProductCost,MB-0001,2022-12-01,6.1575932013,USD
ProductCost,MB-0001,2023-01-01,5.9266673582,USD
ProductCost,MB-0001,2023-02-01,5.1142171733,USD
ProductCost,MB-0001,2023-03-01,5.3320359285,USD
ProductCost,MB-0001,2023-07-01,5.9012090005,USD
ProductCost,MB-0001,2023-10-01,6.6460005863,USD
ProductCost,MB-0001,2023-11-01,6.5998178246,USD
ProductCost,MB-0001,2023-12-01,5.7987518323,USD
ProductCost,MB-0002,2021-01-01,3.1382103739,EUR
ProductCost,MB-0002,2021-02-01,3.5571555726,EUR
ProductCost,MB-0002,2021-04-01,3.8716061902,EUR
ProductCost,MB-0002,2021-05-01,3.232707148,EUR
ProductCost,MB-0002,2021-09-01,4.0895430346,EUR
ProductCost,MB-0002,2021-10-01,3.6310873507,EUR
ProductCost,MB-0002,2021-11-01,4.0836475127,EUR
ProductCost,MB-0002,2021-12-01,3.6872376775,EUR
ProductCost,MB-0002,2022-02-01,3.1343651539,EUR
ProductCost,MB-0002,2022-03-01,3.8716869111,EUR
ProductCost,MB-0002,2022-05-01,3.8785926453,EUR
ProductCost,MB-0002,2022-06-01,3.7978624693,EUR
ProductCost,MB-0002,2022-08-01,3.9671114913,EUR
ProductCost,MB-0002,2022-09-01,3.8093374091,EUR
ProductCost,MB-0002,2022-10-01,3.7115221477,EUR
ProductCost,MB-0002,2022-11-01,3.8819416737,EUR
ProductCost,MB-0002,2023-01-01,3.6613358113,EUR
ProductCost,MB-0002,2023-02-01,3.2504053225,EUR
ProductCost,MB-0002,2023-05-01,3.800063973,EUR
ProductCost,MB-0002,2023-07-01,3.4928354404,EUR
ProductCost,MB-0002,2023-08-01,3.0815514299,EUR
ProductCost,MB-0002,2023-10-01,3.0819427505,EUR
ProductCost,MB-0002,2023-11-01,3.5043463303,EUR
ProductCost,MB-0002,2023-12-01,3.9341594817,EUR
ProductCost,MB-0002,2021-03-01,4.3892741616,USD
ProductCost,MB-0002,2021-06-01,3.7843599368,USD
ProductCost,MB-0002,2021-07-01,4.3000538669,USD
ProductCost,MB-0002,2021-08-01,3.8384739713,USD
ProductCost,MB-0002,2022-01-01,4.1880428825,USD
ProductCost,MB-0002,2022-04-01,4.3491515724,USD
ProductCost,MB-0002,2022-07-01,3.6280554944,USD
ProductCost,MB-0002,2022-12-01,3.8327170578,USD
ProductCost,MB-0002,2023-03-01,3.6853968974,USD
ProductCost,MB-0002,2023-04-01,4.4510937389,USD
ProductCost,MB-0002,2023-06-01,3.4315674558,USD
ProductCost,MB-0002,2023-09-01,4.1421907638,USD
ProductCost,MB-0003,2021-02-01,2.0627020521,EUR
ProductCost,MB-0003,2021-03-01,1.8634143643,EUR
ProductCost,MB-0003,2021-05-01,1.8911993973,EUR
ProductCost,MB-0003,2021-06-01,1.8408198873,EUR
ProductCost,MB-0003,2021-07-01,1.7496781018,EUR
ProductCost,MB-0003,2022-04-01,1.5461396154,EUR
ProductCost,MB-0003,2022-05-01,1.6991631824,EUR
ProductCost,MB-0003,2022-06-01,1.6951180573,EUR
ProductCost,MB-0003,2022-07-01,2.0689247584,EUR
ProductCost,MB-0003,2022-08-01,1.540200738,EUR
ProductCost,MB-0003,2022-09-01,1.8641309255,EUR
ProductCost,MB-0003,2022-10-01,1.8489597767,EUR
ProductCost,MB-0003,2022-11-01,1.7323344127,EUR
ProductCost,MB-0003,2023-01-01,1.9751379707,EUR
ProductCost,MB-0003,2023-07-01,2.0301601147,EUR
ProductCost,MB-0003,2023-08-01,1.5364291131,EUR
ProductCost,MB-0003,2023-10-01,1.5387067569,EUR
ProductCost,MB-0003,2023-11-01,1.5825424779,EUR
ProductCost,MB-0003,2021-01-01,2.036923402,USD
ProductCost,MB-0003,2021-04-01,1.725489404,USD
ProductCost,MB-0003,2021-08-01,2.0392833297,USD
ProductCost,MB-0003,2021-09-01,1.8075733505,USD
ProductCost,MB-0003,2021-10-01,1.9438552367,USD
ProductCost,MB-0003,2021-11-01,2.1535260322,USD
ProductCost,MB-0003,2021-12-01,1.8553476787,USD
ProductCost,MB-0003,2022-01-01,2.1805593592,USD
ProductCost,MB-0003,2022-02-01,1.8996360434,USD
ProductCost,MB-0003,2022-03-01,1.8826273393,USD
ProductCost,MB-0003,2022-12-01,1.9288600504,USD
ProductCost,MB-0003,2023-02-01,2.2003555387,USD
ProductCost,MB-0003,2023-03-01,1.8454421223,USD
ProductCost,MB-0003,2023-04-01,1.7241341899,USD
ProductCost,MB-0003,2023-05-01,2.2328412295,USD
ProductCost,MB-0003,2023-06-01,1.9667294439,USD
ProductCost,MB-0003,2023-09-01,1.8910637022,USD
ProductCost,MB-0003,2023-12-01,1.7394429433,USD
ProductCost,MB-0004,2021-02-01,1.4288804707,EUR
ProductCost,MB-0004,2021-04-01,1.5981358238,EUR
ProductCost,MB-0004,2021-06-01,1.3349049175,EUR
ProductCost,MB-0004,2021-12-01,1.4375886021,EUR
ProductCost,MB-0004,2022-01-01,1.5123557948,EUR
ProductCost,MB-0004,2022-02-01,1.637080655,EUR
ProductCost,MB-0004,2022-03-01,1.3955866863,EUR
ProductCost,MB-0004,2022-07-01,1.3358060423,EUR
ProductCost,MB-0004,2022-08-01,1.5835285525,EUR
ProductCost,MB-0004,2022-09-01,1.6640019196,EUR
ProductCost,MB-0004,2022-12-01,1.4315810658,EUR
ProductCost,MB-0004,2023-01-01,1.5746492819,EUR
ProductCost,MB-0004,2023-03-01,1.4848354846,EUR
ProductCost,MB-0004,2023-04-01,1.6442361408,EUR
ProductCost,MB-0004,2023-07-01,1.3694672867,EUR
ProductCost,MB-0004,2023-10-01,1.5082194103,EUR
ProductCost,MB-0004,2021-01-01,1.4496824981,USD
ProductCost,MB-0004,2021-03-01,1.4918222204,USD
ProductCost,MB-0004,2021-05-01,1.5785412124,USD
ProductCost,MB-0004,2021-07-01,1.3770445588,USD
ProductCost,MB-0004,2021-08-01,1.7105170599,USD
ProductCost,MB-0004,2021-09-01,1.8519178223,USD
ProductCost,MB-0004,2021-10-01,1.7517689264,USD
ProductCost,MB-0004,2021-11-01,1.8296192137,USD
ProductCost,MB-0004,2022-04-01,1.6883943371,USD
ProductCost,MB-0004,2022-05-01,1.593734236,USD
ProductCost,MB-0004,2022-06-01,1.548244992,USD
ProductCost,MB-0004,2022-10-01,1.5388224533,USD
ProductCost,MB-0004,2022-11-01,1.6756225986,USD
ProductCost,MB-0004,2023-02-01,1.4020539652,USD
ProductCost,MB-0004,2023-05-01,1.6242850428,USD
ProductCost,MB-0004,2023-06-01,1.5633462359,USD
ProductCost,MB-0004,2023-08-01,1.3969822981,USD
ProductCost,MB-0004,2023-09-01,1.6119351726,USD
ProductCost,MB-0004,2023-11-01,1.6944476487,USD
ProductCost,MB-0004,2023-12-01,1.604782123,USD
ProductCost,MB-0005,2021-01-01,2.8607133902,EUR
ProductCost,MB-0005,2021-02-01,2.7984621435,EUR
ProductCost,MB-0005,2021-04-01,3.051082055,EUR
ProductCost,MB-0005,2021-06-01,3.0743259175,EUR
ProductCost,MB-0005,2021-07-01,2.7953552607,EUR
ProductCost,MB-0005,2021-09-01,3.0296257616,EUR
ProductCost,MB-0005,2021-10-01,3.1803052851,EUR
ProductCost,MB-0005,2022-02-01,2.9809721965,EUR
ProductCost,MB-0005,2022-03-01,3.0046478806,EUR
ProductCost,MB-0005,2022-06-01,3.137024915,EUR
ProductCost,MB-0005,2022-10-01,2.6510614711,EUR
ProductCost,MB-0005,2022-12-01,2.4884320532,EUR
ProductCost,MB-0005,2023-03-01,3.2352714761,EUR
ProductCost,MB-0005,2023-04-01,3.3444154288,EUR
ProductCost,MB-0005,2023-07-01,2.9358703289,EUR
ProductCost,MB-0005,2023-09-01,2.7421233369,EUR
ProductCost,MB-0005,2023-10-01,2.5144829065,EUR
ProductCost,MB-0005,2021-03-01,3.5565265534,USD
ProductCost,MB-0005,2021-05-01,2.8224260931,USD
ProductCost,MB-0005,2021-08-01,3.282587039,USD
ProductCost,MB-0005,2021-11-01,3.6504378117,USD
ProductCost,MB-0005,2021-12-01,3.5727577022,USD
ProductCost,MB-0005,2022-01-01,3.2803218062,USD
ProductCost,MB-0005,2022-04-01,2.7792707755,USD
ProductCost,MB-0005,2022-05-01,3.3908417566,USD
ProductCost,MB-0005,2022-07-01,3.2645436743,USD
ProductCost,MB-0005,2022-08-01,2.7854868675,USD
ProductCost,MB-0005,2022-09-01,3.6143873402,USD
ProductCost,MB-0005,2022-11-01,3.0411740281,USD
ProductCost,MB-0005,2023-01-01,2.7250842975,USD
ProductCost,MB-0005,2023-02-01,3.3326799285,USD
ProductCost,MB-0005,2023-05-01,3.4769527497,USD
ProductCost,MB-0005,2023-06-01,2.9195514001,USD
ProductCost,MB-0005,2023-08-01,3.5888595754,USD
ProductCost,MB-0005,2023-11-01,3.546592548,USD
ProductCost,MB-0005,2023-12-01,2.9913412368,USD
ProductCost,MB-0006,2021-02-01,4.6595174784,EUR
ProductCost,MB-0006,2021-03-01,3.8622152313,EUR
ProductCost,MB-0006,2021-05-01,4.9769203973,EUR
ProductCost,MB-0006,2021-06-01,4.724611926,EUR
ProductCost,MB-0006,2021-08-01,3.8807402632,EUR
ProductCost,MB-0006,2021-10-01,4.8093622469,EUR
ProductCost,MB-0006,2021-11-01,4.3909288997,EUR
ProductCost,MB-0006,2022-01-01,4.3080595971,EUR
ProductCost,MB-0006,2022-04-01,4.1372141099,EUR
ProductCost,MB-0006,2022-07-01,4.9549559304,EUR
ProductCost,MB-0006,2022-08-01,3.7941893028,EUR
ProductCost,MB-0006,2022-09-01,4.8795156016,EUR
ProductCost,MB-0006,2022-10-01,4.3705557329,EUR
ProductCost,MB-0006,2022-11-01,4.6088917828,EUR
ProductCost,MB-0006,2022-12-01,4.7394509031,EUR
ProductCost,MB-0006,2023-01-01,3.9117451343,EUR
ProductCost,MB-0006,2023-02-01,4.4572269221,EUR
ProductCost,MB-0006,2023-03-01,4.7172861382,EUR
ProductCost,MB-0006,2023-04-01,4.3419057653,EUR
ProductCost,MB-0006,2023-10-01,5.0000664357,EUR
ProductCost,MB-0006,2023-11-01,4.921918523,EUR
ProductCost,MB-0006,2021-01-01,4.3423811434,USD
ProductCost,MB-0006,2021-04-01,5.0213422122,USD
ProductCost,MB-0006,2021-07-01,5.0267778865,USD
ProductCost,MB-0006,2021-09-01,5.1110282347,USD
ProductCost,MB-0006,2021-12-01,4.4477642759,USD
ProductCost,MB-0006,2022-02-01,5.3320652336,USD
ProductCost,MB-0006,2022-03-01,4.5324640477,USD
ProductCost,MB-0006,2022-05-01,5.2254074149,USD
ProductCost,MB-0006,2022-06-01,4.4895008004,USD
ProductCost,MB-0006,2023-05-01,4.9417440087,USD
ProductCost,MB-0006,2023-06-01,4.3469694071,USD
ProductCost,MB-0006,2023-07-01,4.3679307708,USD
ProductCost,MB-0006,2023-08-01,5.1927655235,USD
ProductCost,MB-0006,2023-09-01,4.4963495133,USD
ProductCost,MB-0006,2023-12-01,4.4383634563,USD
ProductCost,MB-0007,2021-01-01,4.2755708176,EUR
ProductCost,MB-0007,2021-02-01,4.4432413692,EUR
ProductCost,MB-0007,2021-03-01,4.8333869161,EUR
ProductCost,MB-0007,2021-04-01,4.3915939668,EUR
ProductCost,MB-0007,2021-05-01,4.684559892,EUR
ProductCost,MB-0007,2021-06-01,5.01260452,EUR
ProductCost,MB-0007,2021-07-01,5.2385320753,EUR
ProductCost,MB-0007,2021-09-01,4.2757668268,EUR
ProductCost,MB-0007,2021-11-01,4.124593242,EUR
ProductCost,MB-0007,2022-05-01,5.1368451498,EUR
ProductCost,MB-0007,2022-06-01,5.065758958,EUR
ProductCost,MB-0007,2022-07-01,4.1800435751,EUR
ProductCost,MB-0007,2022-08-01,4.0517269818,EUR
ProductCost,MB-0007,2022-11-01,4.4861397748,EUR
ProductCost,MB-0007,2023-02-01,5.0785227446,EUR
ProductCost,MB-0007,2023-06-01,4.4527733202,EUR
ProductCost,MB-0007,2023-07-01,4.6274206009,EUR
ProductCost,MB-0007,2023-10-01,5.2058100796,EUR
ProductCost,MB-0007,2023-12-01,4.5468830027,EUR
ProductCost,MB-0007,2021-08-01,5.8777379379,USD
ProductCost,MB-0007,2021-10-01,5.0247639205,USD
ProductCost,MB-0007,2021-12-01,5.0599599988,USD
ProductCost,MB-0007,2022-01-01,5.8948323481,USD
ProductCost,MB-0007,2022-02-01,4.9543577067,USD
ProductCost,MB-0007,2022-03-01,4.7620490589,USD
ProductCost,MB-0007,2022-04-01,4.8368342713,USD
ProductCost,MB-0007,2022-09-01,5.8260494703,USD
ProductCost,MB-0007,2022-10-01,5.4249966919,USD
ProductCost,MB-0007,2022-12-01,5.4625382037,USD
